"State","State Code","Place of Death","Place of Death Code","Year","Year Code","Deaths","Population","Crude Rate"
"Alabama","01","Medical Facility - Outpatient or ER","2","2006","2006",102,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2007","2007",107,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2008","2008",108,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2009","2009",119,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2010","2010",107,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2011","2011",111,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2012","2012",126,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2013","2013",140,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2014","2014",116,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2015","2015",121,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Dead on Arrival","3","1999","1999",13,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Dead on Arrival","3","2001","2001",13,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Dead on Arrival","3","2005","2005",14,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Dead on Arrival","3","2006","2006",12,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","1999","1999",358,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2000","2000",347,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2001","2001",333,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2002","2002",329,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2003","2003",362,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2004","2004",312,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2005","2005",311,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2006","2006",364,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2007","2007",337,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2008","2008",343,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2009","2009",411,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2010","2010",357,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2011","2011",386,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2012","2012",413,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2013","2013",394,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2014","2014",399,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2015","2015",448,"Not Applicable","Not Applicable"
"Alabama","01","Decedent's home","4","2016","2016",472,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","1999","1999",239,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2000","2000",227,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2001","2001",219,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2002","2002",202,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2003","2003",214,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2004","2004",212,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2005","2005",243,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2006","2006",227,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2007","2007",276,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2008","2008",268,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2009","2009",234,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2010","2010",239,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2011","2011",209,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2012","2012",227,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2013","2013",250,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2014","2014",221,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2015","2015",299,"Not Applicable","Not Applicable"
"Alabama","01","Other","7","2016","2016",340,"Not Applicable","Not Applicable"
"Alabama","01","Place of death unknown","9","2008","2008",12,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Inpatient","1","2014","2014",10,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Inpatient","1","2016","2016",13,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","1999","1999",10,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2000","2000",12,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2002","2002",18,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2004","2004",11,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2005","2005",20,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2006","2006",11,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2007","2007",15,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2009","2009",13,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2010","2010",13,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2012","2012",15,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2013","2013",11,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2014","2014",11,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2015","2015",14,"Not Applicable","Not Applicable"
"Alaska","02","Medical Facility - Outpatient or ER","2","2016","2016",19,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","1999","1999",46,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2000","2000",67,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2001","2001",53,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2002","2002",64,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2003","2003",54,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2004","2004",52,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2005","2005",46,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2006","2006",51,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2007","2007",64,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2008","2008",83,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2009","2009",58,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2010","2010",81,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2011","2011",78,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2012","2012",61,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2013","2013",80,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2014","2014",76,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2015","2015",83,"Not Applicable","Not Applicable"
"Alaska","02","Decedent's home","4","2016","2016",67,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","1999","1999",28,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2000","2000",30,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2001","2001",25,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2002","2002",32,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2003","2003",49,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2004","2004",45,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2005","2005",43,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2006","2006",43,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2007","2007",37,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2008","2008",39,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2009","2009",20,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2010","2010",39,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2011","2011",30,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2012","2012",37,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2013","2013",42,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2014","2014",42,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2015","2015",65,"Not Applicable","Not Applicable"
"Alaska","02","Other","7","2016","2016",63,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","1999","1999",100,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2000","2000",66,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2001","2001",65,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2002","2002",71,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2003","2003",81,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2004","2004",91,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2005","2005",77,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2006","2006",84,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2007","2007",79,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2008","2008",84,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2009","2009",59,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2010","2010",43,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2011","2011",57,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2012","2012",59,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2013","2013",71,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2014","2014",65,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2015","2015",58,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Inpatient","1","2016","2016",88,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","1999","1999",83,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2000","2000",110,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2001","2001",121,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2002","2002",152,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2003","2003",119,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2004","2004",103,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2005","2005",115,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2006","2006",118,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2007","2007",116,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2008","2008",103,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2009","2009",105,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2010","2010",126,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2011","2011",141,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2012","2012",125,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2013","2013",112,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2014","2014",108,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2015","2015",129,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Outpatient or ER","2","2016","2016",124,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Dead on Arrival","3","1999","1999",12,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Dead on Arrival","3","2000","2000",11,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Dead on Arrival","3","2002","2002",15,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Dead on Arrival","3","2003","2003",11,"Not Applicable","Not Applicable"
"Arizona","04","Medical Facility - Dead on Arrival","3","2008","2008",10,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","1999","1999",354,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2000","2000",340,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2001","2001",362,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2002","2002",395,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2003","2003",471,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2004","2004",408,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2005","2005",379,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2006","2006",431,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2007","2007",402,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2008","2008",412,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2009","2009",445,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2010","2010",443,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2011","2011",460,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2012","2012",448,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2013","2013",423,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2014","2014",435,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2015","2015",439,"Not Applicable","Not Applicable"
"Arizona","04","Decedent's home","4","2016","2016",490,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","1999","1999",241,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2000","2000",242,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2001","2001",249,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2002","2002",298,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2003","2003",134,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2004","2004",253,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2005","2005",327,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2006","2006",311,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2007","2007",313,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2008","2008",269,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2009","2009",222,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2010","2010",289,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2011","2011",275,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2012","2012",280,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2013","2013",299,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2014","2014",291,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2015","2015",315,"Not Applicable","Not Applicable"
"Arizona","04","Other","7","2016","2016",356,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","1999","1999",34,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2000","2000",27,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2001","2001",29,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2002","2002",42,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2003","2003",26,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2004","2004",26,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2005","2005",33,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2006","2006",26,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2007","2007",29,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2008","2008",24,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2009","2009",26,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2010","2010",27,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2011","2011",29,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2012","2012",36,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2013","2013",28,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2014","2014",34,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2015","2015",30,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Inpatient","1","2016","2016",34,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","1999","1999",39,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2000","2000",42,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2001","2001",37,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2002","2002",26,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2003","2003",32,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2004","2004",32,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2005","2005",36,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2006","2006",41,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2007","2007",47,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2008","2008",48,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2009","2009",60,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2010","2010",47,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2011","2011",65,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2012","2012",62,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2013","2013",55,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2014","2014",53,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2015","2015",61,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Outpatient or ER","2","2016","2016",59,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Dead on Arrival","3","2000","2000",13,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Dead on Arrival","3","2005","2005",10,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Dead on Arrival","3","2008","2008",12,"Not Applicable","Not Applicable"
"Arkansas","05","Medical Facility - Dead on Arrival","3","2014","2014",10,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","1999","1999",208,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2000","2000",228,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2001","2001",254,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2002","2002",233,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2003","2003",243,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2004","2004",233,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2005","2005",254,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2006","2006",229,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2007","2007",211,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2008","2008",233,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2009","2009",233,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2010","2010",230,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2011","2011",235,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2012","2012",250,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2013","2013",269,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2014","2014",266,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2015","2015",270,"Not Applicable","Not Applicable"
"Arkansas","05","Decedent's home","4","2016","2016",287,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","1999","1999",88,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2000","2000",91,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2001","2001",75,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2002","2002",112,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2003","2003",91,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2004","2004",90,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2005","2005",93,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2006","2006",111,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2007","2007",120,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2008","2008",120,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2009","2009",128,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2010","2010",100,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2011","2011",120,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2012","2012",130,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2013","2013",132,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2014","2014",128,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2015","2015",145,"Not Applicable","Not Applicable"
"Arkansas","05","Other","7","2016","2016",137,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","1999","1999",282,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2000","2000",299,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2001","2001",299,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2002","2002",286,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2003","2003",285,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2004","2004",264,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2005","2005",331,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2006","2006",291,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2007","2007",289,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2008","2008",269,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2009","2009",221,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2010","2010",207,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2011","2011",220,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2012","2012",212,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2013","2013",212,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2014","2014",175,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2015","2015",199,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Inpatient","1","2016","2016",227,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","1999","1999",683,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2000","2000",706,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2001","2001",744,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2002","2002",861,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2003","2003",891,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2004","2004",871,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2005","2005",904,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2006","2006",885,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2007","2007",782,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2008","2008",740,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2009","2009",667,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2010","2010",630,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2011","2011",631,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2012","2012",641,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2013","2013",597,"Not Applicable","Not Applicable"
"California","06","Medical Facility - Outpatient or ER","2","2014","2014",534,"Not Applicable","Not Applicable"
