"Census Region","Census Region Code","State","State Code","ICD-10 113 Cause List","ICD-10 113 Cause List Code","Year","Year Code","Deaths","Population","Crude Rate"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2007","2007",15,930555,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2011","2011",10,907160,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2013","2013",12,893049,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","1999","1999",17,917417,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2000","2000",12,925702,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2001","2001",14,934730,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2002","2002",10,940829,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2003","2003",14,944098,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2004","2004",10,943246,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2005","2005",13,939226,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2007","2007",13,930555,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2011","2011",10,907160,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Other heart diseases (I26-I51)","GR113-064","2013","2013",12,893049,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068","1999","1999",17,917417,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068","2000","2000",10,925702,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068","2001","2001",11,934730,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068","2004","2004",10,943246,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068","2005","2005",11,939226,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068","2007","2007",11,930555,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068","2013","2013",11,893049,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","1999","1999",160,917417,17.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2000","2000",177,925702,19.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2001","2001",173,934730,18.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2002","2002",158,940829,16.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2003","2003",136,944098,14.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2004","2004",138,943246,14.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2005","2005",149,939226,15.9
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2006","2006",163,935104,17.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2007","2007",183,930555,19.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2008","2008",165,926767,17.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2009","2009",137,921458,14.9
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2010","2010",134,915776,14.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2011","2011",113,907160,12.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2012","2012",120,901680,13.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2013","2013",95,893049,10.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2014","2014",104,881696,11.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2015","2015",128,869474,14.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Certain conditions originating in the perinatal period (P00-P96)","GR113-108","2016","2016",103,857498,12
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","1999","1999",66,917417,7.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2000","2000",63,925702,6.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2001","2001",38,934730,4.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2002","2002",59,940829,6.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2003","2003",43,944098,4.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2004","2004",48,943246,5.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2005","2005",35,939226,3.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2006","2006",47,935104,5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2007","2007",44,930555,4.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2008","2008",44,926767,4.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2009","2009",44,921458,4.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2010","2010",34,915776,3.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2011","2011",33,907160,3.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2012","2012",38,901680,4.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2013","2013",29,893049,3.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2014","2014",32,881696,3.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2015","2015",28,869474,3.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109","2016","2016",40,857498,4.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","1999","1999",26,917417,2.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2000","2000",31,925702,3.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2001","2001",33,934730,3.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2002","2002",31,940829,3.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2003","2003",26,944098,2.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2004","2004",29,943246,3.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2005","2005",33,939226,3.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2006","2006",24,935104,2.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2007","2007",32,930555,3.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2008","2008",25,926767,2.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2009","2009",27,921458,2.9
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2010","2010",23,915776,2.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2011","2011",24,907160,2.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2012","2012",21,901680,2.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2013","2013",27,893049,3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2014","2014",23,881696,2.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2015","2015",20,869474,2.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110","2016","2016",18,857498,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","1999","1999",31,917417,3.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2000","2000",39,925702,4.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2001","2001",25,934730,2.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2002","2002",29,940829,3.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2003","2003",37,944098,3.9
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2004","2004",26,943246,2.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2005","2005",35,939226,3.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2006","2006",23,935104,2.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2007","2007",15,930555,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2008","2008",21,926767,2.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2009","2009",21,921458,2.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2010","2010",25,915776,2.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2011","2011",26,907160,2.9
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2012","2012",20,901680,2.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2013","2013",17,893049,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2014","2014",16,881696,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2015","2015",21,869474,2.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other diseases (Residual) ","GR113-111","2016","2016",16,857498,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","1999","1999",77,917417,8.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2000","2000",77,925702,8.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2001","2001",87,934730,9.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2002","2002",89,940829,9.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2003","2003",74,944098,7.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2004","2004",92,943246,9.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2005","2005",78,939226,8.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2006","2006",78,935104,8.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2007","2007",85,930555,9.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2008","2008",70,926767,7.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2009","2009",59,921458,6.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2010","2010",44,915776,4.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2011","2011",58,907160,6.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2012","2012",52,901680,5.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2013","2013",56,893049,6.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2014","2014",40,881696,4.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2015","2015",51,869474,5.9
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112","2016","2016",47,857498,5.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","1999","1999",49,917417,5.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2000","2000",50,925702,5.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2001","2001",54,934730,5.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2002","2002",55,940829,5.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2003","2003",49,944098,5.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2004","2004",54,943246,5.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2005","2005",43,939226,4.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2006","2006",48,935104,5.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2007","2007",57,930555,6.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2008","2008",40,926767,4.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2009","2009",31,921458,3.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2010","2010",33,915776,3.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2011","2011",31,907160,3.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2012","2012",25,901680,2.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2013","2013",37,893049,4.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2014","2014",22,881696,2.5
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2015","2015",32,869474,3.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Transport accidents (V01-V99,Y85)","GR113-113","2016","2016",22,857498,2.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)","GR113-114","1999","1999",42,917417,4.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)","GR113-114","2000","2000",44,925702,4.8
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)","GR113-114","2001","2001",48,934730,5.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)","GR113-114","2002","2002",53,940829,5.6
