"Year","Year Code","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Gender","Ethnicity","ICD Sub-Chapter","ICD Sub-Chapter Code","Race","Race Code","Deaths","Population","Crude Rate"
"2008","2008","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,978946,"Unreliable"
"2008","2008","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,705126,"Unreliable"
"2008","2008","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,600708,"Unreliable"
"2009","2009","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,1093671,"Unreliable"
"2009","2009","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,986995,"Unreliable"
"2009","2009","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,726403,"Unreliable"
"2009","2009","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,690535,"Unreliable"
"2010","2010","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",19,1113883,"Unreliable"
"2010","2010","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",21,994313,2.1
"2010","2010","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,922994,"Unreliable"
"2010","2010","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,740189,"Unreliable"
"2010","2010","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,634751,"Unreliable"
"2011","2011","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,1142489,"Unreliable"
"2011","2011","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",19,1002831,"Unreliable"
"2011","2011","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,763250,"Unreliable"
"2011","2011","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,710401,"Unreliable"
"2011","2011","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,654650,"Unreliable"
"2012","2012","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,1156016,"Unreliable"
"2012","2012","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,1002282,"Unreliable"
"2012","2012","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,775343,"Unreliable"
"2012","2012","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,665417,"Unreliable"
"2013","2013","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,1163403,"Unreliable"
"2013","2013","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,1012459,"Unreliable"
"2013","2013","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,790331,"Unreliable"
"2013","2013","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,790331,"Unreliable"
"2014","2014","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,1176129,"Unreliable"
"2014","2014","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,966276,"Unreliable"
"2014","2014","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,810999,"Unreliable"
"2014","2014","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,810999,"Unreliable"
"2014","2014","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,736393,"Unreliable"
"2014","2014","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,695666,"Unreliable"
"2014","2014","Texas","48","45-54 years","45-54","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,556728,"Unreliable"
"2015","2015","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",19,1175237,"Unreliable"
"2015","2015","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,1049526,"Unreliable"
"2015","2015","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,972770,"Unreliable"
"2015","2015","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,829181,"Unreliable"
"2015","2015","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,748140,"Unreliable"
"2015","2015","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,711604,"Unreliable"
"2016","2016","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",22,1168750,1.9
"2016","2016","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",22,1062966,2.1
"2016","2016","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,965563,"Unreliable"
"2016","2016","Florida","12","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,356094,"Unreliable"
"2016","2016","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,844844,"Unreliable"
"2016","2016","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,844844,"Unreliable"
"2016","2016","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,762198,"Unreliable"
"2016","2016","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",21,762198,2.8
"2016","2016","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,718856,"Unreliable"
"1999","1999","Arizona","04","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,121993,"Unreliable"
"1999","1999","Arizona","04","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",58,121993,47.5
"1999","1999","Arizona","04","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",21,113925,18.4
"1999","1999","Arizona","04","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",53,113925,46.5
"1999","1999","Arizona","04","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",19,82782,"Unreliable"
"1999","1999","California","06","5-14 years","5-14","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,1060995,"Unreliable"
"1999","1999","California","06","15-24 years","15-24","Male","Hispanic or Latino","Other external causes of accidental injury","W00-X59","White","2106-3",10,981910,"Unreliable"
"1999","1999","California","06","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",47,981910,4.8
"1999","1999","California","06","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",324,981910,33
"1999","1999","California","06","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",40,1030872,3.9
"1999","1999","California","06","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",155,1030872,15
"1999","1999","California","06","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",35,751507,4.7
"1999","1999","California","06","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",45,751507,6
"1999","1999","California","06","45-54 years","45-54","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",20,408208,4.9
"1999","1999","California","06","45-54 years","45-54","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",25,408208,6.1
"1999","1999","California","06","55-64 years","55-64","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,203480,"Unreliable"
"1999","1999","California","06","65-74 years","65-74","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,120751,"Unreliable"
"1999","1999","Colorado","08","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,69479,"Unreliable"
"1999","1999","Connecticut","09","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,26113,"Unreliable"
"1999","1999","Florida","12","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",19,198451,"Unreliable"
"1999","1999","Florida","12","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,217102,"Unreliable"
"1999","1999","Florida","12","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",24,217102,11.1
"1999","1999","Florida","12","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,200291,"Unreliable"
"1999","1999","Florida","12","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,200291,"Unreliable"
"1999","1999","Florida","12","75-84 years","75-84","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,31697,"Unreliable"
"1999","1999","Georgia","13","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,56461,"Unreliable"
"1999","1999","Illinois","17","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,154223,"Unreliable"
"1999","1999","Illinois","17","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",73,154223,47.3
"1999","1999","Illinois","17","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,156352,"Unreliable"
"1999","1999","Illinois","17","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,105207,"Unreliable"
"1999","1999","Nevada","32","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,34830,"Unreliable"
"1999","1999","New Mexico","35","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,62941,"Unreliable"
"1999","1999","New Mexico","35","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",23,62941,36.5
"1999","1999","New Mexico","35","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,51487,"Unreliable"
"1999","1999","New Mexico","35","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,54548,"Unreliable"
"1999","1999","New York","36","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",38,203042,18.7
"1999","1999","New York","36","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",35,214999,16.3
"1999","1999","New York","36","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,175401,"Unreliable"
"1999","1999","New York","36","45-54 years","45-54","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,109148,"Unreliable"
"1999","1999","North Carolina","37","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,50311,"Unreliable"
"1999","1999","North Carolina","37","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,49826,"Unreliable"
"1999","1999","Pennsylvania","42","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",22,32605,67.5
"1999","1999","Texas","48","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",36,627269,5.7
"1999","1999","Texas","48","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",100,627269,15.9
"1999","1999","Texas","48","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",34,577265,5.9
"1999","1999","Texas","48","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",84,577265,14.6
"1999","1999","Texas","48","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",32,461811,6.9
"1999","1999","Texas","48","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",49,461811,10.6
"1999","1999","Texas","48","45-54 years","45-54","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,281133,"Unreliable"
"1999","1999","Texas","48","45-54 years","45-54","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,281133,"Unreliable"
"2000","2000","Arizona","04","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",30,128169,23.4
"2000","2000","Arizona","04","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",50,128169,39
"2000","2000","Arizona","04","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,119073,"Unreliable"
"2000","2000","Arizona","04","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",44,119073,37
"2000","2000","Arizona","04","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,86783,"Unreliable"
"2000","2000","California","06","5-14 years","5-14","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,1094792,"Unreliable"
"2000","2000","California","06","15-24 years","15-24","Male","Hispanic or Latino","Other external causes of accidental injury","W00-X59","White","2106-3",11,1015365,"Unreliable"
"2000","2000","California","06","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",39,1015365,3.8
"2000","2000","California","06","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",321,1015365,31.6
"2000","2000","California","06","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",36,1032755,3.5
"2000","2000","California","06","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",162,1032755,15.7
"2000","2000","California","06","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",33,774401,4.3
"2000","2000","California","06","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",53,774401,6.8
"2000","2000","California","06","45-54 years","45-54","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",23,431379,5.3
"2000","2000","California","06","45-54 years","45-54","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",26,431379,6
"2000","2000","California","06","65-74 years","65-74","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,124506,"Unreliable"
"2000","2000","Florida","12","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,208364,"Unreliable"
"2000","2000","Florida","12","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,227789,"Unreliable"
"2000","2000","Florida","12","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,227789,"Unreliable"
"2000","2000","Florida","12","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",17,211386,"Unreliable"
"2000","2000","Florida","12","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,211386,"Unreliable"
"2000","2000","Florida","12","45-54 years","45-54","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,134929,"Unreliable"
"2000","2000","Florida","12","55-64 years","55-64","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,92589,"Unreliable"
"2000","2000","Florida","12","65-74 years","65-74","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,70215,"Unreliable"
"2000","2000","Georgia","13","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",21,63990,32.8
"2000","2000","Illinois","17","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",79,161315,49
"2000","2000","Illinois","17","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",25,162530,15.4
"2000","2000","Illinois","17","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,108995,"Unreliable"
"2000","2000","Nevada","32","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,38354,"Unreliable"
"2000","2000","Nevada","32","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,43088,"Unreliable"
"2000","2000","Nevada","32","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,43088,"Unreliable"
"2000","2000","New Mexico","35","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,63473,"Unreliable"
"2000","2000","New Mexico","35","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",33,63473,52
"2000","2000","New Mexico","35","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,51981,"Unreliable"
"2000","2000","New Mexico","35","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,51981,"Unreliable"
"2000","2000","New York","36","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",31,207862,14.9
"2000","2000","New York","36","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",36,218197,16.5
"2000","2000","New York","36","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,180018,"Unreliable"
"2000","2000","New York","36","45-54 years","45-54","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,112834,"Unreliable"
"2000","2000","North Carolina","37","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,58366,"Unreliable"
"2000","2000","Pennsylvania","42","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,34050,"Unreliable"
"2000","2000","Pennsylvania","42","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,31080,"Unreliable"
"2000","2000","Texas","48","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",39,645026,6
"2000","2000","Texas","48","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",115,645026,17.8
"2000","2000","Texas","48","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",35,596028,5.9
"2000","2000","Texas","48","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",112,596028,18.8
"2000","2000","Texas","48","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",26,477265,5.4
"2000","2000","Texas","48","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",55,477265,11.5
"2000","2000","Texas","48","45-54 years","45-54","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",24,295036,8.1
"2000","2000","Texas","48","45-54 years","45-54","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,295036,"Unreliable"
"2000","2000","Texas","48","55-64 years","55-64","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,150447,"Unreliable"
"2001","2001","Arizona","04","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,133277,"Unreliable"
"2001","2001","Arizona","04","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",83,133277,62.3
"2001","2001","Arizona","04","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",49,122768,39.9
"2001","2001","Arizona","04","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",22,91013,24.2
"2001","2001","California","06","15-24 years","15-24","Male","Hispanic or Latino","Other external causes of accidental injury","W00-X59","White","2106-3",11,1041251,"Unreliable"
"2001","2001","California","06","15-24 years","15-24","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",35,1041251,3.4
"2001","2001","California","06","15-24 years","15-24","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",349,1041251,33.5
"2001","2001","California","06","25-34 years","25-34","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",50,1044332,4.8
"2001","2001","California","06","25-34 years","25-34","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",183,1044332,17.5
"2001","2001","California","06","35-44 years","35-44","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",27,811727,3.3
"2001","2001","California","06","35-44 years","35-44","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",67,811727,8.3
"2001","2001","California","06","45-54 years","45-54","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",22,466433,4.7
"2001","2001","California","06","45-54 years","45-54","Male","Hispanic or Latino","Assault","X85-Y09","White","2106-3",21,466433,4.5
"2001","2001","California","06","55-64 years","55-64","Male","Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,225244,"Unreliable"
