"State","State Code","ICD Sub-Chapter","ICD Sub-Chapter Code","Year","Year Code","Deaths","Population","Crude Rate"
"Arizona","04","Other external causes of accidental injury","W00-X59","2000","2000",14,5130632,"Unreliable"
"Arizona","04","Other external causes of accidental injury","W00-X59","2001","2001",16,5273477,"Unreliable"
"Arizona","04","Other external causes of accidental injury","W00-X59","2002","2002",25,5396255,0.5
"Arizona","04","Other external causes of accidental injury","W00-X59","2003","2003",12,5510364,"Unreliable"
"Arizona","04","Other external causes of accidental injury","W00-X59","2004","2004",14,5652404,"Unreliable"
"Arizona","04","Other external causes of accidental injury","W00-X59","2005","2005",15,5839077,"Unreliable"
"Arizona","04","Other external causes of accidental injury","W00-X59","2007","2007",14,6167681,"Unreliable"
"Arizona","04","Other external causes of accidental injury","W00-X59","2008","2008",11,6280362,"Unreliable"
"Arizona","04","Other external causes of accidental injury","W00-X59","2010","2010",12,6392017,"Unreliable"
"Arizona","04","Intentional self-harm","X60-X84","1999","1999",476,5023823,9.5
"Arizona","04","Intentional self-harm","X60-X84","2000","2000",489,5130632,9.5
"Arizona","04","Intentional self-harm","X60-X84","2001","2001",468,5273477,8.9
"Arizona","04","Intentional self-harm","X60-X84","2002","2002",559,5396255,10.4
"Arizona","04","Intentional self-harm","X60-X84","2003","2003",486,5510364,8.8
"Arizona","04","Intentional self-harm","X60-X84","2004","2004",509,5652404,9
"Arizona","04","Intentional self-harm","X60-X84","2005","2005",514,5839077,8.8
"Arizona","04","Intentional self-harm","X60-X84","2006","2006",563,6029141,9.3
"Arizona","04","Intentional self-harm","X60-X84","2007","2007",552,6167681,8.9
"Arizona","04","Intentional self-harm","X60-X84","2008","2008",540,6280362,8.6
"Arizona","04","Intentional self-harm","X60-X84","2009","2009",605,6343154,9.5
"Arizona","04","Intentional self-harm","X60-X84","2010","2010",620,6392017,9.7
"Arizona","04","Intentional self-harm","X60-X84","2011","2011",674,6482505,10.4
"Arizona","04","Intentional self-harm","X60-X84","2012","2012",663,6553255,10.1
"Arizona","04","Intentional self-harm","X60-X84","2013","2013",655,6626624,9.9
"Arizona","04","Intentional self-harm","X60-X84","2014","2014",683,6731484,10.1
"Arizona","04","Intentional self-harm","X60-X84","2015","2015",707,6828065,10.4
"Arizona","04","Intentional self-harm","X60-X84","2016","2016",755,6931071,10.9
"Arizona","04","Assault","X85-Y09","1999","1999",303,5023823,6
"Arizona","04","Assault","X85-Y09","2000","2000",274,5130632,5.3
"Arizona","04","Assault","X85-Y09","2001","2001",332,5273477,6.3
"Arizona","04","Assault","X85-Y09","2002","2002",355,5396255,6.6
"Arizona","04","Assault","X85-Y09","2003","2003",324,5510364,5.9
"Arizona","04","Assault","X85-Y09","2004","2004",342,5652404,6.1
"Arizona","04","Assault","X85-Y09","2005","2005",377,5839077,6.5
"Arizona","04","Assault","X85-Y09","2006","2006",387,6029141,6.4
"Arizona","04","Assault","X85-Y09","2007","2007",354,6167681,5.7
"Arizona","04","Assault","X85-Y09","2008","2008",333,6280362,5.3
"Arizona","04","Assault","X85-Y09","2009","2009",228,6343154,3.6
"Arizona","04","Assault","X85-Y09","2010","2010",271,6392017,4.2
"Arizona","04","Assault","X85-Y09","2011","2011",259,6482505,4
"Arizona","04","Assault","X85-Y09","2012","2012",254,6553255,3.9
"Arizona","04","Assault","X85-Y09","2013","2013",251,6626624,3.8
"Arizona","04","Assault","X85-Y09","2014","2014",212,6731484,3.1
"Arizona","04","Assault","X85-Y09","2015","2015",236,6828065,3.5
"Arizona","04","Assault","X85-Y09","2016","2016",303,6931071,4.4
"Arkansas","05","Other external causes of accidental injury","W00-X59","1999","1999",24,2651860,0.9
"Arkansas","05","Other external causes of accidental injury","W00-X59","2000","2000",19,2673400,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2001","2001",19,2691571,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2002","2002",22,2705927,0.8
"Arkansas","05","Other external causes of accidental injury","W00-X59","2003","2003",18,2724816,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2004","2004",16,2749686,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2005","2005",14,2781097,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2006","2006",12,2821761,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2007","2007",21,2848650,0.7
"Arkansas","05","Other external causes of accidental injury","W00-X59","2008","2008",17,2874554,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2009","2009",14,2896843,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2010","2010",14,2915918,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2011","2011",11,2937979,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2012","2012",10,2949131,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2013","2013",15,2959373,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2015","2015",17,2978204,"Unreliable"
"Arkansas","05","Other external causes of accidental injury","W00-X59","2016","2016",11,2988248,"Unreliable"
"Arkansas","05","Intentional self-harm","X60-X84","1999","1999",234,2651860,8.8
"Arkansas","05","Intentional self-harm","X60-X84","2000","2000",244,2673400,9.1
"Arkansas","05","Intentional self-harm","X60-X84","2001","2001",274,2691571,10.2
"Arkansas","05","Intentional self-harm","X60-X84","2002","2002",257,2705927,9.5
"Arkansas","05","Intentional self-harm","X60-X84","2003","2003",258,2724816,9.5
"Arkansas","05","Intentional self-harm","X60-X84","2004","2004",232,2749686,8.4
"Arkansas","05","Intentional self-harm","X60-X84","2005","2005",262,2781097,9.4
"Arkansas","05","Intentional self-harm","X60-X84","2006","2006",247,2821761,8.8
"Arkansas","05","Intentional self-harm","X60-X84","2007","2007",244,2848650,8.6
"Arkansas","05","Intentional self-harm","X60-X84","2008","2008",275,2874554,9.6
"Arkansas","05","Intentional self-harm","X60-X84","2009","2009",285,2896843,9.8
"Arkansas","05","Intentional self-harm","X60-X84","2010","2010",266,2915918,9.1
"Arkansas","05","Intentional self-harm","X60-X84","2011","2011",299,2937979,10.2
"Arkansas","05","Intentional self-harm","X60-X84","2012","2012",307,2949131,10.4
"Arkansas","05","Intentional self-harm","X60-X84","2013","2013",322,2959373,10.9
"Arkansas","05","Intentional self-harm","X60-X84","2014","2014",323,2966369,10.9
"Arkansas","05","Intentional self-harm","X60-X84","2015","2015",342,2978204,11.5
"Arkansas","05","Intentional self-harm","X60-X84","2016","2016",331,2988248,11.1
"Arkansas","05","Assault","X85-Y09","1999","1999",118,2651860,4.4
"Arkansas","05","Assault","X85-Y09","2000","2000",140,2673400,5.2
"Arkansas","05","Assault","X85-Y09","2001","2001",110,2691571,4.1
"Arkansas","05","Assault","X85-Y09","2002","2002",146,2705927,5.4
"Arkansas","05","Assault","X85-Y09","2003","2003",123,2724816,4.5
"Arkansas","05","Assault","X85-Y09","2004","2004",141,2749686,5.1
"Arkansas","05","Assault","X85-Y09","2005","2005",154,2781097,5.5
"Arkansas","05","Assault","X85-Y09","2006","2006",155,2821761,5.5
"Arkansas","05","Assault","X85-Y09","2007","2007",153,2848650,5.4
"Arkansas","05","Assault","X85-Y09","2008","2008",145,2874554,5
"Arkansas","05","Assault","X85-Y09","2009","2009",157,2896843,5.4
"Arkansas","05","Assault","X85-Y09","2010","2010",132,2915918,4.5
"Arkansas","05","Assault","X85-Y09","2011","2011",145,2937979,4.9
"Arkansas","05","Assault","X85-Y09","2012","2012",166,2949131,5.6
"Arkansas","05","Assault","X85-Y09","2013","2013",152,2959373,5.1
"Arkansas","05","Assault","X85-Y09","2014","2014",161,2966369,5.4
"Arkansas","05","Assault","X85-Y09","2015","2015",155,2978204,5.2
"Arkansas","05","Assault","X85-Y09","2016","2016",182,2988248,6.1
"California","06","Other external causes of accidental injury","W00-X59","1999","1999",47,33499204,0.1
"California","06","Other external causes of accidental injury","W00-X59","2000","2000",66,33871648,0.2
"California","06","Other external causes of accidental injury","W00-X59","2001","2001",97,34479458,0.3
"California","06","Other external causes of accidental injury","W00-X59","2002","2002",44,34871843,0.1
"California","06","Other external causes of accidental injury","W00-X59","2003","2003",68,35253159,0.2
"California","06","Other external causes of accidental injury","W00-X59","2004","2004",50,35574576,0.1
"California","06","Other external causes of accidental injury","W00-X59","2005","2005",146,35827943,0.4
"California","06","Other external causes of accidental injury","W00-X59","2006","2006",68,36021202,0.2
"California","06","Other external causes of accidental injury","W00-X59","2007","2007",43,36250311,0.1
"California","06","Other external causes of accidental injury","W00-X59","2008","2008",37,36604337,0.1
"California","06","Other external causes of accidental injury","W00-X59","2009","2009",31,36961229,0.1
"California","06","Other external causes of accidental injury","W00-X59","2010","2010",24,37253956,0.1
"California","06","Other external causes of accidental injury","W00-X59","2011","2011",26,37691912,0.1
"California","06","Other external causes of accidental injury","W00-X59","2012","2012",30,38041430,0.1
"California","06","Other external causes of accidental injury","W00-X59","2013","2013",35,38332521,0.1
"California","06","Other external causes of accidental injury","W00-X59","2014","2014",23,38802500,0.1
"California","06","Other external causes of accidental injury","W00-X59","2015","2015",29,39144818,0.1
"California","06","Other external causes of accidental injury","W00-X59","2016","2016",36,39250017,0.1
"California","06","Intentional self-harm","X60-X84","1999","1999",1532,33499204,4.6
"California","06","Intentional self-harm","X60-X84","2000","2000",1487,33871648,4.4
"California","06","Intentional self-harm","X60-X84","2001","2001",1450,34479458,4.2
"California","06","Intentional self-harm","X60-X84","2002","2002",1490,34871843,4.3
"California","06","Intentional self-harm","X60-X84","2003","2003",1505,35253159,4.3
"California","06","Intentional self-harm","X60-X84","2004","2004",1366,35574576,3.8
"California","06","Intentional self-harm","X60-X84","2005","2005",1329,35827943,3.7
"California","06","Intentional self-harm","X60-X84","2006","2006",1319,36021202,3.7
"California","06","Intentional self-harm","X60-X84","2007","2007",1422,36250311,3.9
"California","06","Intentional self-harm","X60-X84","2008","2008",1478,36604337,4
"California","06","Intentional self-harm","X60-X84","2009","2009",1519,36961229,4.1
"California","06","Intentional self-harm","X60-X84","2010","2010",1492,37253956,4
"California","06","Intentional self-harm","X60-X84","2011","2011",1564,37691912,4.1
"California","06","Intentional self-harm","X60-X84","2012","2012",1549,38041430,4.1
"California","06","Intentional self-harm","X60-X84","2013","2013",1571,38332521,4.1
"California","06","Intentional self-harm","X60-X84","2014","2014",1582,38802500,4.1
"California","06","Intentional self-harm","X60-X84","2015","2015",1559,39144818,4
"California","06","Intentional self-harm","X60-X84","2016","2016",1595,39250017,4.1
"California","06","Assault","X85-Y09","1999","1999",1380,33499204,4.1
"California","06","Assault","X85-Y09","2000","2000",1483,33871648,4.4
"California","06","Assault","X85-Y09","2001","2001",1589,34479458,4.6
"California","06","Assault","X85-Y09","2002","2002",1810,34871843,5.2
"California","06","Assault","X85-Y09","2003","2003",1782,35253159,5.1
"California","06","Assault","X85-Y09","2004","2004",1808,35574576,5.1
"California","06","Assault","X85-Y09","2005","2005",1878,35827943,5.2
"California","06","Assault","X85-Y09","2006","2006",1883,36021202,5.2
"California","06","Assault","X85-Y09","2007","2007",1701,36250311,4.7
"California","06","Assault","X85-Y09","2008","2008",1569,36604337,4.3
"California","06","Assault","X85-Y09","2009","2009",1460,36961229,4
"California","06","Assault","X85-Y09","2010","2010",1342,37253956,3.6
"California","06","Assault","X85-Y09","2011","2011",1314,37691912,3.5
"California","06","Assault","X85-Y09","2012","2012",1362,38041430,3.6
"California","06","Assault","X85-Y09","2013","2013",1312,38332521,3.4
"California","06","Assault","X85-Y09","2014","2014",1233,38802500,3.2
"California","06","Assault","X85-Y09","2015","2015",1396,39144818,3.6
"California","06","Assault","X85-Y09","2016","2016",1467,39250017,3.7
"Colorado","08","Other external causes of accidental injury","W00-X59","2001","2001",10,4425687,"Unreliable"
"Colorado","08","Other external causes of accidental injury","W00-X59","2011","2011",12,5116796,"Unreliable"
"Colorado","08","Other external causes of accidental injury","W00-X59","2012","2012",11,5187582,"Unreliable"
"Colorado","08","Other external causes of accidental injury","W00-X59","2016","2016",11,5540545,"Unreliable"
"Colorado","08","Intentional self-harm","X60-X84","1999","1999",309,4226018,7.3
"Colorado","08","Intentional self-harm","X60-X84","2000","2000",350,4301261,8.1
"Colorado","08","Intentional self-harm","X60-X84","2001","2001",390,4425687,8.8
"Colorado","08","Intentional self-harm","X60-X84","2002","2002",380,4490406,8.5
"Colorado","08","Intentional self-harm","X60-X84","2003","2003",363,4528732,8
"Colorado","08","Intentional self-harm","X60-X84","2004","2004",402,4575013,8.8
"Colorado","08","Intentional self-harm","X60-X84","2005","2005",396,4631888,8.5
"Colorado","08","Intentional self-harm","X60-X84","2006","2006",371,4720423,7.9
"Colorado","08","Intentional self-harm","X60-X84","2007","2007",396,4803868,8.2
"Colorado","08","Intentional self-harm","X60-X84","2008","2008",387,4889730,7.9
"Colorado","08","Intentional self-harm","X60-X84","2009","2009",454,4972195,9.1
"Colorado","08","Intentional self-harm","X60-X84","2010","2010",427,5029196,8.5
"Colorado","08","Intentional self-harm","X60-X84","2011","2011",443,5116796,8.7
"Colorado","08","Intentional self-harm","X60-X84","2012","2012",533,5187582,10.3
"Colorado","08","Intentional self-harm","X60-X84","2013","2013",489,5268367,9.3
"Colorado","08","Intentional self-harm","X60-X84","2014","2014",539,5355866,10.1
"Colorado","08","Intentional self-harm","X60-X84","2015","2015",541,5456574,9.9
"Colorado","08","Intentional self-harm","X60-X84","2016","2016",613,5540545,11.1
"Colorado","08","Assault","X85-Y09","1999","1999",121,4226018,2.9
"Colorado","08","Assault","X85-Y09","2000","2000",84,4301261,2
"Colorado","08","Assault","X85-Y09","2001","2001",98,4425687,2.2
"Colorado","08","Assault","X85-Y09","2002","2002",116,4490406,2.6
"Colorado","08","Assault","X85-Y09","2003","2003",117,4528732,2.6
"Colorado","08","Assault","X85-Y09","2004","2004",131,4575013,2.9
"Colorado","08","Assault","X85-Y09","2005","2005",115,4631888,2.5
"Colorado","08","Assault","X85-Y09","2006","2006",104,4720423,2.2
"Colorado","08","Assault","X85-Y09","2007","2007",91,4803868,1.9
"Colorado","08","Assault","X85-Y09","2008","2008",109,4889730,2.2
"Colorado","08","Assault","X85-Y09","2009","2009",108,4972195,2.2
"Colorado","08","Assault","X85-Y09","2010","2010",97,5029196,1.9
"Colorado","08","Assault","X85-Y09","2011","2011",101,5116796,2
"Colorado","08","Assault","X85-Y09","2012","2012",115,5187582,2.2
"Colorado","08","Assault","X85-Y09","2013","2013",106,5268367,2
"Colorado","08","Assault","X85-Y09","2014","2014",102,5355866,1.9
"Colorado","08","Assault","X85-Y09","2015","2015",137,5456574,2.5
"Colorado","08","Assault","X85-Y09","2016","2016",161,5540545,2.9
"Connecticut","09","Intentional self-harm","X60-X84","1999","1999",111,3386401,3.3
"Connecticut","09","Intentional self-harm","X60-X84","2000","2000",113,3405565,3.3
"Connecticut","09","Intentional self-harm","X60-X84","2001","2001",115,3432835,3.4
"Connecticut","09","Intentional self-harm","X60-X84","2002","2002",85,3458749,2.5
"Connecticut","09","Intentional self-harm","X60-X84","2003","2003",89,3484336,2.6
"Connecticut","09","Intentional self-harm","X60-X84","2004","2004",105,3496094,3
"Connecticut","09","Intentional self-harm","X60-X84","2005","2005",112,3506956,3.2
"Connecticut","09","Intentional self-harm","X60-X84","2006","2006",79,3517460,2.2
"Connecticut","09","Intentional self-harm","X60-X84","2007","2007",78,3527270,2.2
"Connecticut","09","Intentional self-harm","X60-X84","2008","2008",109,3545579,3.1
"Connecticut","09","Intentional self-harm","X60-X84","2009","2009",93,3561807,2.6
"Connecticut","09","Intentional self-harm","X60-X84","2010","2010",110,3574097,3.1
"Connecticut","09","Intentional self-harm","X60-X84","2011","2011",111,3580709,3.1
"Connecticut","09","Intentional self-harm","X60-X84","2012","2012",111,3590347,3.1
"Connecticut","09","Intentional self-harm","X60-X84","2013","2013",92,3596080,2.6
"Connecticut","09","Intentional self-harm","X60-X84","2014","2014",125,3596677,3.5
"Connecticut","09","Intentional self-harm","X60-X84","2015","2015",104,3590886,2.9
"Connecticut","09","Intentional self-harm","X60-X84","2016","2016",110,3576452,3.1
"Connecticut","09","Assault","X85-Y09","1999","1999",84,3386401,2.5
"Connecticut","09","Assault","X85-Y09","2000","2000",61,3405565,1.8
"Connecticut","09","Assault","X85-Y09","2001","2001",72,3432835,2.1
"Connecticut","09","Assault","X85-Y09","2002","2002",57,3458749,1.6
"Connecticut","09","Assault","X85-Y09","2003","2003",56,3484336,1.6
"Connecticut","09","Assault","X85-Y09","2004","2004",64,3496094,1.8
"Connecticut","09","Assault","X85-Y09","2005","2005",66,3506956,1.9
"Connecticut","09","Assault","X85-Y09","2006","2006",92,3517460,2.6
"Connecticut","09","Assault","X85-Y09","2007","2007",67,3527270,1.9
"Connecticut","09","Assault","X85-Y09","2008","2008",87,3545579,2.5
"Connecticut","09","Assault","X85-Y09","2009","2009",78,3561807,2.2
"Connecticut","09","Assault","X85-Y09","2010","2010",98,3574097,2.7
"Connecticut","09","Assault","X85-Y09","2011","2011",96,3580709,2.7
"Connecticut","09","Assault","X85-Y09","2012","2012",114,3590347,3.2
"Connecticut","09","Assault","X85-Y09","2013","2013",66,3596080,1.8
"Connecticut","09","Assault","X85-Y09","2014","2014",58,3596677,1.6
"Connecticut","09","Assault","X85-Y09","2015","2015",80,3590886,2.2
"Connecticut","09","Assault","X85-Y09","2016","2016",55,3576452,1.5
"Delaware","10","Intentional self-harm","X60-X84","1999","1999",44,774990,5.7
"Delaware","10","Intentional self-harm","X60-X84","2000","2000",40,783600,5.1
"Delaware","10","Intentional self-harm","X60-X84","2001","2001",53,795699,6.7
"Delaware","10","Intentional self-harm","X60-X84","2002","2002",38,806169,4.7
"Delaware","10","Intentional self-harm","X60-X84","2003","2003",42,818003,5.1
"Delaware","10","Intentional self-harm","X60-X84","2004","2004",45,830803,5.4
"Delaware","10","Intentional self-harm","X60-X84","2005","2005",42,845150,5
"Delaware","10","Intentional self-harm","X60-X84","2006","2006",42,859268,4.9
"Delaware","10","Intentional self-harm","X60-X84","2007","2007",46,871749,5.3
"Delaware","10","Intentional self-harm","X60-X84","2008","2008",41,883874,4.6
"Delaware","10","Intentional self-harm","X60-X84","2009","2009",38,891730,4.3
"Delaware","10","Intentional self-harm","X60-X84","2010","2010",43,897934,4.8
"Delaware","10","Intentional self-harm","X60-X84","2011","2011",46,907135,5.1
"Delaware","10","Intentional self-harm","X60-X84","2012","2012",46,917092,5
"Delaware","10","Intentional self-harm","X60-X84","2013","2013",60,925749,6.5
"Delaware","10","Intentional self-harm","X60-X84","2014","2014",59,935614,6.3
"Delaware","10","Intentional self-harm","X60-X84","2015","2015",55,945934,5.8
"Delaware","10","Intentional self-harm","X60-X84","2016","2016",65,952065,6.8
"Delaware","10","Assault","X85-Y09","1999","1999",18,774990,"Unreliable"
"Delaware","10","Assault","X85-Y09","2001","2001",19,795699,"Unreliable"
"Delaware","10","Assault","X85-Y09","2002","2002",28,806169,3.5
"Delaware","10","Assault","X85-Y09","2003","2003",18,818003,"Unreliable"
"Delaware","10","Assault","X85-Y09","2004","2004",27,830803,3.2
"Delaware","10","Assault","X85-Y09","2005","2005",33,845150,3.9
"Delaware","10","Assault","X85-Y09","2006","2006",34,859268,4
"Delaware","10","Assault","X85-Y09","2007","2007",30,871749,3.4
"Delaware","10","Assault","X85-Y09","2008","2008",54,883874,6.1
"Delaware","10","Assault","X85-Y09","2009","2009",36,891730,4
"Delaware","10","Assault","X85-Y09","2010","2010",45,897934,5
"Delaware","10","Assault","X85-Y09","2011","2011",31,907135,3.4
"Delaware","10","Assault","X85-Y09","2012","2012",46,917092,5
"Delaware","10","Assault","X85-Y09","2013","2013",38,925749,4.1
"Delaware","10","Assault","X85-Y09","2014","2014",38,935614,4.1
"Delaware","10","Assault","X85-Y09","2015","2015",53,945934,5.6
"Delaware","10","Assault","X85-Y09","2016","2016",44,952065,4.6
"District of Columbia","11","Intentional self-harm","X60-X84","1999","1999",13,570213,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2001","2001",21,574504,3.7
"District of Columbia","11","Intentional self-harm","X60-X84","2002","2002",13,573158,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2003","2003",10,568502,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2005","2005",10,567136,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2006","2006",10,570681,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2007","2007",10,574404,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2008","2008",12,580236,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2010","2010",13,601723,"Unreliable"
"District of Columbia","11","Intentional self-harm","X60-X84","2012","2012",10,632323,"Unreliable"
