"Year","Year Code","2013 Urbanization","2013 Urbanization Code","Ten-Year Age Groups","Ten-Year Age Groups Code","ICD Sub-Chapter","ICD Sub-Chapter Code","Deaths","Population","Crude Rate"
"1999","1999","Large Fringe Metro","2","35-44 years","35-44","Other external causes of accidental injury","W00-X59",19,11409837,"Unreliable"
"1999","1999","Large Fringe Metro","2","35-44 years","35-44","Intentional self-harm","X60-X84",674,11409837,5.9
"1999","1999","Large Fringe Metro","2","35-44 years","35-44","Assault","X85-Y09",293,11409837,2.6
"1999","1999","Large Fringe Metro","2","45-54 years","45-54","Other external causes of accidental injury","W00-X59",15,9067550,"Unreliable"
"1999","1999","Large Fringe Metro","2","45-54 years","45-54","Intentional self-harm","X60-X84",553,9067550,6.1
"1999","1999","Large Fringe Metro","2","45-54 years","45-54","Assault","X85-Y09",146,9067550,1.6
"1999","1999","Large Fringe Metro","2","55-64 years","55-64","Intentional self-harm","X60-X84",396,5616664,7.1
"1999","1999","Large Fringe Metro","2","55-64 years","55-64","Assault","X85-Y09",65,5616664,1.2
"1999","1999","Large Fringe Metro","2","65-74 years","65-74","Intentional self-harm","X60-X84",337,4116982,8.2
"1999","1999","Large Fringe Metro","2","65-74 years","65-74","Assault","X85-Y09",33,4116982,0.8
"1999","1999","Large Fringe Metro","2","75-84 years","75-84","Intentional self-harm","X60-X84",284,2706598,10.5
"1999","1999","Large Fringe Metro","2","75-84 years","75-84","Assault","X85-Y09",18,2706598,"Unreliable"
"1999","1999","Large Fringe Metro","2","85+ years","85+","Intentional self-harm","X60-X84",89,898334,9.9
"1999","1999","Medium Metro","3","5-14 years","5-14","Other external causes of accidental injury","W00-X59",15,8358504,"Unreliable"
"1999","1999","Medium Metro","3","5-14 years","5-14","Intentional self-harm","X60-X84",25,8358504,0.3
"1999","1999","Medium Metro","3","5-14 years","5-14","Assault","X85-Y09",31,8358504,0.4
"1999","1999","Medium Metro","3","15-24 years","15-24","Other external causes of accidental injury","W00-X59",48,8203027,0.6
"1999","1999","Medium Metro","3","15-24 years","15-24","Intentional self-harm","X60-X84",475,8203027,5.8
"1999","1999","Medium Metro","3","15-24 years","15-24","Assault","X85-Y09",647,8203027,7.9
"1999","1999","Medium Metro","3","25-34 years","25-34","Other external causes of accidental injury","W00-X59",33,7897063,0.4
"1999","1999","Medium Metro","3","25-34 years","25-34","Intentional self-harm","X60-X84",574,7897063,7.3
"1999","1999","Medium Metro","3","25-34 years","25-34","Assault","X85-Y09",489,7897063,6.2
"1999","1999","Medium Metro","3","35-44 years","35-44","Other external causes of accidental injury","W00-X59",25,8999733,0.3
"1999","1999","Medium Metro","3","35-44 years","35-44","Intentional self-harm","X60-X84",673,8999733,7.5
"1999","1999","Medium Metro","3","35-44 years","35-44","Assault","X85-Y09",332,8999733,3.7
"1999","1999","Medium Metro","3","45-54 years","45-54","Other external causes of accidental injury","W00-X59",12,7458742,"Unreliable"
"1999","1999","Medium Metro","3","45-54 years","45-54","Intentional self-harm","X60-X84",558,7458742,7.5
"1999","1999","Medium Metro","3","45-54 years","45-54","Assault","X85-Y09",150,7458742,2
"1999","1999","Medium Metro","3","55-64 years","55-64","Other external causes of accidental injury","W00-X59",12,4858430,"Unreliable"
"1999","1999","Medium Metro","3","55-64 years","55-64","Intentional self-harm","X60-X84",405,4858430,8.3
"1999","1999","Medium Metro","3","55-64 years","55-64","Assault","X85-Y09",63,4858430,1.3
"1999","1999","Medium Metro","3","65-74 years","65-74","Intentional self-harm","X60-X84",367,3878756,9.5
"1999","1999","Medium Metro","3","65-74 years","65-74","Assault","X85-Y09",41,3878756,1.1
"1999","1999","Medium Metro","3","75-84 years","75-84","Intentional self-harm","X60-X84",328,2573593,12.7
"1999","1999","Medium Metro","3","85+ years","85+","Intentional self-harm","X60-X84",107,845213,12.7
"1999","1999","Small Metro","4","5-14 years","5-14","Intentional self-harm","X60-X84",15,3674298,"Unreliable"
"1999","1999","Small Metro","4","5-14 years","5-14","Assault","X85-Y09",11,3674298,"Unreliable"
"1999","1999","Small Metro","4","15-24 years","15-24","Other external causes of accidental injury","W00-X59",28,4039054,0.7
"1999","1999","Small Metro","4","15-24 years","15-24","Intentional self-harm","X60-X84",290,4039054,7.2
"1999","1999","Small Metro","4","15-24 years","15-24","Assault","X85-Y09",202,4039054,5
"1999","1999","Small Metro","4","25-34 years","25-34","Other external causes of accidental injury","W00-X59",12,3411782,"Unreliable"
"1999","1999","Small Metro","4","25-34 years","25-34","Intentional self-harm","X60-X84",244,3411782,7.2
"1999","1999","Small Metro","4","25-34 years","25-34","Assault","X85-Y09",155,3411782,4.5
"1999","1999","Small Metro","4","35-44 years","35-44","Other external causes of accidental injury","W00-X59",16,3947412,"Unreliable"
"1999","1999","Small Metro","4","35-44 years","35-44","Intentional self-harm","X60-X84",376,3947412,9.5
"1999","1999","Small Metro","4","35-44 years","35-44","Assault","X85-Y09",166,3947412,4.2
"1999","1999","Small Metro","4","45-54 years","45-54","Other external causes of accidental injury","W00-X59",19,3348520,"Unreliable"
"1999","1999","Small Metro","4","45-54 years","45-54","Intentional self-harm","X60-X84",313,3348520,9.3
"1999","1999","Small Metro","4","45-54 years","45-54","Assault","X85-Y09",78,3348520,2.3
"1999","1999","Small Metro","4","55-64 years","55-64","Intentional self-harm","X60-X84",209,2266962,9.2
"1999","1999","Small Metro","4","55-64 years","55-64","Assault","X85-Y09",34,2266962,1.5
"1999","1999","Small Metro","4","65-74 years","65-74","Intentional self-harm","X60-X84",225,1835641,12.3
"1999","1999","Small Metro","4","65-74 years","65-74","Assault","X85-Y09",20,1835641,1.1
"1999","1999","Small Metro","4","75-84 years","75-84","Intentional self-harm","X60-X84",190,1205282,15.8
"1999","1999","Small Metro","4","75-84 years","75-84","Assault","X85-Y09",12,1205282,"Unreliable"
"1999","1999","Small Metro","4","85+ years","85+","Intentional self-harm","X60-X84",53,406213,13
"1999","1999","Micropolitan (Nonmetro)","5","5-14 years","5-14","Other external causes of accidental injury","W00-X59",17,3731710,"Unreliable"
"1999","1999","Micropolitan (Nonmetro)","5","5-14 years","5-14","Intentional self-harm","X60-X84",17,3731710,"Unreliable"
"1999","1999","Micropolitan (Nonmetro)","5","5-14 years","5-14","Assault","X85-Y09",21,3731710,0.6
"1999","1999","Micropolitan (Nonmetro)","5","15-24 years","15-24","Other external causes of accidental injury","W00-X59",48,3754910,1.3
"1999","1999","Micropolitan (Nonmetro)","5","15-24 years","15-24","Intentional self-harm","X60-X84",289,3754910,7.7
"1999","1999","Micropolitan (Nonmetro)","5","15-24 years","15-24","Assault","X85-Y09",168,3754910,4.5
"1999","1999","Micropolitan (Nonmetro)","5","25-34 years","25-34","Other external causes of accidental injury","W00-X59",25,3253447,0.8
"1999","1999","Micropolitan (Nonmetro)","5","25-34 years","25-34","Intentional self-harm","X60-X84",307,3253447,9.4
"1999","1999","Micropolitan (Nonmetro)","5","25-34 years","25-34","Assault","X85-Y09",162,3253447,5
"1999","1999","Micropolitan (Nonmetro)","5","35-44 years","35-44","Other external causes of accidental injury","W00-X59",21,3941379,0.5
"1999","1999","Micropolitan (Nonmetro)","5","35-44 years","35-44","Intentional self-harm","X60-X84",363,3941379,9.2
"1999","1999","Micropolitan (Nonmetro)","5","35-44 years","35-44","Assault","X85-Y09",134,3941379,3.4
"1999","1999","Micropolitan (Nonmetro)","5","45-54 years","45-54","Other external causes of accidental injury","W00-X59",16,3423236,"Unreliable"
"1999","1999","Micropolitan (Nonmetro)","5","45-54 years","45-54","Intentional self-harm","X60-X84",323,3423236,9.4
"1999","1999","Micropolitan (Nonmetro)","5","45-54 years","45-54","Assault","X85-Y09",77,3423236,2.2
"1999","1999","Micropolitan (Nonmetro)","5","55-64 years","55-64","Intentional self-harm","X60-X84",234,2395990,9.8
"1999","1999","Micropolitan (Nonmetro)","5","55-64 years","55-64","Assault","X85-Y09",44,2395990,1.8
"1999","1999","Micropolitan (Nonmetro)","5","65-74 years","65-74","Other external causes of accidental injury","W00-X59",10,1918352,"Unreliable"
"1999","1999","Micropolitan (Nonmetro)","5","65-74 years","65-74","Intentional self-harm","X60-X84",240,1918352,12.5
"1999","1999","Micropolitan (Nonmetro)","5","65-74 years","65-74","Assault","X85-Y09",20,1918352,1
"1999","1999","Micropolitan (Nonmetro)","5","75-84 years","75-84","Intentional self-harm","X60-X84",212,1276251,16.6
"1999","1999","Micropolitan (Nonmetro)","5","75-84 years","75-84","Assault","X85-Y09",12,1276251,"Unreliable"
"1999","1999","Micropolitan (Nonmetro)","5","85+ years","85+","Intentional self-harm","X60-X84",83,450956,18.4
"1999","1999","NonCore (Nonmetro)","6","5-14 years","5-14","Other external causes of accidental injury","W00-X59",18,2729913,"Unreliable"
"1999","1999","NonCore (Nonmetro)","6","5-14 years","5-14","Intentional self-harm","X60-X84",14,2729913,"Unreliable"
"1999","1999","NonCore (Nonmetro)","6","5-14 years","5-14","Assault","X85-Y09",10,2729913,"Unreliable"
"1999","1999","NonCore (Nonmetro)","6","15-24 years","15-24","Other external causes of accidental injury","W00-X59",38,2434769,1.6
"1999","1999","NonCore (Nonmetro)","6","15-24 years","15-24","Intentional self-harm","X60-X84",253,2434769,10.4
"1999","1999","NonCore (Nonmetro)","6","15-24 years","15-24","Assault","X85-Y09",111,2434769,4.6
"1999","1999","NonCore (Nonmetro)","6","25-34 years","25-34","Other external causes of accidental injury","W00-X59",28,2209841,1.3
"1999","1999","NonCore (Nonmetro)","6","25-34 years","25-34","Intentional self-harm","X60-X84",248,2209841,11.2
"1999","1999","NonCore (Nonmetro)","6","25-34 years","25-34","Assault","X85-Y09",125,2209841,5.7
"1999","1999","NonCore (Nonmetro)","6","35-44 years","35-44","Other external causes of accidental injury","W00-X59",31,2833781,1.1
"1999","1999","NonCore (Nonmetro)","6","35-44 years","35-44","Intentional self-harm","X60-X84",333,2833781,11.8
"1999","1999","NonCore (Nonmetro)","6","35-44 years","35-44","Assault","X85-Y09",129,2833781,4.6
"1999","1999","NonCore (Nonmetro)","6","45-54 years","45-54","Other external causes of accidental injury","W00-X59",19,2522867,"Unreliable"
"1999","1999","NonCore (Nonmetro)","6","45-54 years","45-54","Intentional self-harm","X60-X84",246,2522867,9.8
"1999","1999","NonCore (Nonmetro)","6","45-54 years","45-54","Assault","X85-Y09",68,2522867,2.7
"1999","1999","NonCore (Nonmetro)","6","55-64 years","55-64","Other external causes of accidental injury","W00-X59",15,1922935,"Unreliable"
"1999","1999","NonCore (Nonmetro)","6","55-64 years","55-64","Intentional self-harm","X60-X84",190,1922935,9.9
"1999","1999","NonCore (Nonmetro)","6","55-64 years","55-64","Assault","X85-Y09",38,1922935,2
"1999","1999","NonCore (Nonmetro)","6","65-74 years","65-74","Intentional self-harm","X60-X84",215,1580901,13.6
"1999","1999","NonCore (Nonmetro)","6","65-74 years","65-74","Assault","X85-Y09",23,1580901,1.5
"1999","1999","NonCore (Nonmetro)","6","75-84 years","75-84","Intentional self-harm","X60-X84",190,1043469,18.2
"1999","1999","NonCore (Nonmetro)","6","85+ years","85+","Intentional self-harm","X60-X84",75,390022,19.2
"2000","2000","Large Central Metro","1","1-4 years","1-4","Assault","X85-Y09",10,4929692,"Unreliable"
"2000","2000","Large Central Metro","1","5-14 years","5-14","Intentional self-harm","X60-X84",19,12621323,"Unreliable"
"2000","2000","Large Central Metro","1","5-14 years","5-14","Assault","X85-Y09",71,12621323,0.6
"2000","2000","Large Central Metro","1","15-24 years","15-24","Other external causes of accidental injury","W00-X59",35,12221809,0.3
"2000","2000","Large Central Metro","1","15-24 years","15-24","Intentional self-harm","X60-X84",562,12221809,4.6
"2000","2000","Large Central Metro","1","15-24 years","15-24","Assault","X85-Y09",2371,12221809,19.4
"2000","2000","Large Central Metro","1","25-34 years","25-34","Other external causes of accidental injury","W00-X59",20,13989385,0.1
"2000","2000","Large Central Metro","1","25-34 years","25-34","Intentional self-harm","X60-X84",634,13989385,4.5
"2000","2000","Large Central Metro","1","25-34 years","25-34","Assault","X85-Y09",1718,13989385,12.3
"2000","2000","Large Central Metro","1","35-44 years","35-44","Other external causes of accidental injury","W00-X59",23,13969047,0.2
"2000","2000","Large Central Metro","1","35-44 years","35-44","Intentional self-harm","X60-X84",697,13969047,5
"2000","2000","Large Central Metro","1","35-44 years","35-44","Assault","X85-Y09",849,13969047,6.1
"2000","2000","Large Central Metro","1","45-54 years","45-54","Other external causes of accidental injury","W00-X59",14,11074045,"Unreliable"
"2000","2000","Large Central Metro","1","45-54 years","45-54","Intentional self-harm","X60-X84",694,11074045,6.3
"2000","2000","Large Central Metro","1","45-54 years","45-54","Assault","X85-Y09",376,11074045,3.4
"2000","2000","Large Central Metro","1","55-64 years","55-64","Intentional self-harm","X60-X84",393,6837255,5.7
"2000","2000","Large Central Metro","1","55-64 years","55-64","Assault","X85-Y09",122,6837255,1.8
"2000","2000","Large Central Metro","1","65-74 years","65-74","Other external causes of accidental injury","W00-X59",10,5074432,"Unreliable"
"2000","2000","Large Central Metro","1","65-74 years","65-74","Intentional self-harm","X60-X84",377,5074432,7.4
"2000","2000","Large Central Metro","1","65-74 years","65-74","Assault","X85-Y09",67,5074432,1.3
"2000","2000","Large Central Metro","1","75-84 years","75-84","Intentional self-harm","X60-X84",350,3460321,10.1
"2000","2000","Large Central Metro","1","75-84 years","75-84","Assault","X85-Y09",25,3460321,0.7
"2000","2000","Large Central Metro","1","85+ years","85+","Intentional self-harm","X60-X84",135,1186630,11.4
"2000","2000","Large Fringe Metro","2","5-14 years","5-14","Intentional self-harm","X60-X84",23,9952502,0.2
"2000","2000","Large Fringe Metro","2","5-14 years","5-14","Assault","X85-Y09",30,9952502,0.3
"2000","2000","Large Fringe Metro","2","15-24 years","15-24","Other external causes of accidental injury","W00-X59",36,8351279,0.4
"2000","2000","Large Fringe Metro","2","15-24 years","15-24","Intentional self-harm","X60-X84",421,8351279,5
"2000","2000","Large Fringe Metro","2","15-24 years","15-24","Assault","X85-Y09",543,8351279,6.5
"2000","2000","Large Fringe Metro","2","25-34 years","25-34","Other external causes of accidental injury","W00-X59",26,9283046,0.3
"2000","2000","Large Fringe Metro","2","25-34 years","25-34","Intentional self-harm","X60-X84",500,9283046,5.4
"2000","2000","Large Fringe Metro","2","25-34 years","25-34","Assault","X85-Y09",417,9283046,4.5
"2000","2000","Large Fringe Metro","2","35-44 years","35-44","Other external causes of accidental injury","W00-X59",28,11498953,0.2
"2000","2000","Large Fringe Metro","2","35-44 years","35-44","Intentional self-harm","X60-X84",640,11498953,5.6
"2000","2000","Large Fringe Metro","2","35-44 years","35-44","Assault","X85-Y09",310,11498953,2.7
"2000","2000","Large Fringe Metro","2","45-54 years","45-54","Other external causes of accidental injury","W00-X59",12,9369688,"Unreliable"
"2000","2000","Large Fringe Metro","2","45-54 years","45-54","Intentional self-harm","X60-X84",554,9369688,5.9
"2000","2000","Large Fringe Metro","2","45-54 years","45-54","Assault","X85-Y09",154,9369688,1.6
"2000","2000","Large Fringe Metro","2","55-64 years","55-64","Other external causes of accidental injury","W00-X59",15,5771526,"Unreliable"
"2000","2000","Large Fringe Metro","2","55-64 years","55-64","Intentional self-harm","X60-X84",410,5771526,7.1
"2000","2000","Large Fringe Metro","2","55-64 years","55-64","Assault","X85-Y09",66,5771526,1.1
"2000","2000","Large Fringe Metro","2","65-74 years","65-74","Intentional self-harm","X60-X84",330,4112653,8
"2000","2000","Large Fringe Metro","2","65-74 years","65-74","Assault","X85-Y09",27,4112653,0.7
"2000","2000","Large Fringe Metro","2","75-84 years","75-84","Intentional self-harm","X60-X84",286,2743432,10.4
"2000","2000","Large Fringe Metro","2","75-84 years","75-84","Assault","X85-Y09",11,2743432,"Unreliable"
"2000","2000","Large Fringe Metro","2","85+ years","85+","Intentional self-harm","X60-X84",90,920902,9.8
"2000","2000","Medium Metro","3","1-4 years","1-4","Assault","X85-Y09",10,3130824,"Unreliable"
"2000","2000","Medium Metro","3","5-14 years","5-14","Other external causes of accidental injury","W00-X59",15,8403650,"Unreliable"
"2000","2000","Medium Metro","3","5-14 years","5-14","Intentional self-harm","X60-X84",26,8403650,0.3
"2000","2000","Medium Metro","3","5-14 years","5-14","Assault","X85-Y09",38,8403650,0.5
"2000","2000","Medium Metro","3","15-24 years","15-24","Other external causes of accidental injury","W00-X59",41,8308083,0.5
"2000","2000","Medium Metro","3","15-24 years","15-24","Intentional self-harm","X60-X84",499,8308083,6
"2000","2000","Medium Metro","3","15-24 years","15-24","Assault","X85-Y09",604,8308083,7.3
"2000","2000","Medium Metro","3","25-34 years","25-34","Other external causes of accidental injury","W00-X59",36,7831830,0.5
"2000","2000","Medium Metro","3","25-34 years","25-34","Intentional self-harm","X60-X84",494,7831830,6.3
"2000","2000","Medium Metro","3","25-34 years","25-34","Assault","X85-Y09",482,7831830,6.2
"2000","2000","Medium Metro","3","35-44 years","35-44","Other external causes of accidental injury","W00-X59",30,9001445,0.3
"2000","2000","Medium Metro","3","35-44 years","35-44","Intentional self-harm","X60-X84",713,9001445,7.9
"2000","2000","Medium Metro","3","35-44 years","35-44","Assault","X85-Y09",338,9001445,3.8
"2000","2000","Medium Metro","3","45-54 years","45-54","Other external causes of accidental injury","W00-X59",13,7689816,"Unreliable"
"2000","2000","Medium Metro","3","45-54 years","45-54","Intentional self-harm","X60-X84",626,7689816,8.1
"2000","2000","Medium Metro","3","45-54 years","45-54","Assault","X85-Y09",170,7689816,2.2
"2000","2000","Medium Metro","3","55-64 years","55-64","Other external causes of accidental injury","W00-X59",11,4962847,"Unreliable"
"2000","2000","Medium Metro","3","55-64 years","55-64","Intentional self-harm","X60-X84",400,4962847,8.1
"2000","2000","Medium Metro","3","55-64 years","55-64","Assault","X85-Y09",74,4962847,1.5
"2000","2000","Medium Metro","3","65-74 years","65-74","Intentional self-harm","X60-X84",380,3871543,9.8
"2000","2000","Medium Metro","3","65-74 years","65-74","Assault","X85-Y09",33,3871543,0.9
"2000","2000","Medium Metro","3","75-84 years","75-84","Intentional self-harm","X60-X84",395,2607517,15.1
"2000","2000","Medium Metro","3","75-84 years","75-84","Assault","X85-Y09",15,2607517,"Unreliable"
"2000","2000","Medium Metro","3","85+ years","85+","Intentional self-harm","X60-X84",131,863916,15.2
"2000","2000","Small Metro","4","5-14 years","5-14","Other external causes of accidental injury","W00-X59",15,3674219,"Unreliable"
"2000","2000","Small Metro","4","5-14 years","5-14","Intentional self-harm","X60-X84",14,3674219,"Unreliable"
"2000","2000","Small Metro","4","5-14 years","5-14","Assault","X85-Y09",11,3674219,"Unreliable"
"2000","2000","Small Metro","4","15-24 years","15-24","Other external causes of accidental injury","W00-X59",25,4078059,0.6
"2000","2000","Small Metro","4","15-24 years","15-24","Intentional self-harm","X60-X84",243,4078059,6
"2000","2000","Small Metro","4","15-24 years","15-24","Assault","X85-Y09",159,4078059,3.9
"2000","2000","Small Metro","4","25-34 years","25-34","Other external causes of accidental injury","W00-X59",18,3379839,"Unreliable"
"2000","2000","Small Metro","4","25-34 years","25-34","Intentional self-harm","X60-X84",272,3379839,8
"2000","2000","Small Metro","4","25-34 years","25-34","Assault","X85-Y09",148,3379839,4.4
"2000","2000","Small Metro","4","35-44 years","35-44","Other external causes of accidental injury","W00-X59",15,3935083,"Unreliable"
"2000","2000","Small Metro","4","35-44 years","35-44","Intentional self-harm","X60-X84",357,3935083,9.1
"2000","2000","Small Metro","4","35-44 years","35-44","Assault","X85-Y09",118,3935083,3
"2000","2000","Small Metro","4","45-54 years","45-54","Intentional self-harm","X60-X84",314,3444017,9.1
"2000","2000","Small Metro","4","45-54 years","45-54","Assault","X85-Y09",77,3444017,2.2
"2000","2000","Small Metro","4","55-64 years","55-64","Intentional self-harm","X60-X84",200,2309909,8.7
"2000","2000","Small Metro","4","55-64 years","55-64","Assault","X85-Y09",31,2309909,1.3
"2000","2000","Small Metro","4","65-74 years","65-74","Intentional self-harm","X60-X84",200,1835726,10.9
"2000","2000","Small Metro","4","65-74 years","65-74","Assault","X85-Y09",20,1835726,1.1
"2000","2000","Small Metro","4","75-84 years","75-84","Intentional self-harm","X60-X84",211,1219111,17.3
"2000","2000","Small Metro","4","75-84 years","75-84","Assault","X85-Y09",13,1219111,"Unreliable"
"2000","2000","Small Metro","4","85+ years","85+","Intentional self-harm","X60-X84",62,414785,14.9
"2000","2000","Micropolitan (Nonmetro)","5","5-14 years","5-14","Other external causes of accidental injury","W00-X59",13,3716909,"Unreliable"
"2000","2000","Micropolitan (Nonmetro)","5","5-14 years","5-14","Intentional self-harm","X60-X84",20,3716909,0.5
"2000","2000","Micropolitan (Nonmetro)","5","5-14 years","5-14","Assault","X85-Y09",21,3716909,0.6
"2000","2000","Micropolitan (Nonmetro)","5","15-24 years","15-24","Other external causes of accidental injury","W00-X59",42,3779704,1.1
"2000","2000","Micropolitan (Nonmetro)","5","15-24 years","15-24","Intentional self-harm","X60-X84",285,3779704,7.5
"2000","2000","Micropolitan (Nonmetro)","5","15-24 years","15-24","Assault","X85-Y09",160,3779704,4.2
"2000","2000","Micropolitan (Nonmetro)","5","25-34 years","25-34","Other external causes of accidental injury","W00-X59",14,3221256,"Unreliable"
"2000","2000","Micropolitan (Nonmetro)","5","25-34 years","25-34","Intentional self-harm","X60-X84",318,3221256,9.9
"2000","2000","Micropolitan (Nonmetro)","5","25-34 years","25-34","Assault","X85-Y09",173,3221256,5.4
"2000","2000","Micropolitan (Nonmetro)","5","35-44 years","35-44","Other external causes of accidental injury","W00-X59",28,3921942,0.7
"2000","2000","Micropolitan (Nonmetro)","5","35-44 years","35-44","Intentional self-harm","X60-X84",404,3921942,10.3
"2000","2000","Micropolitan (Nonmetro)","5","35-44 years","35-44","Assault","X85-Y09",160,3921942,4.1
"2000","2000","Micropolitan (Nonmetro)","5","45-54 years","45-54","Other external causes of accidental injury","W00-X59",17,3514223,"Unreliable"
"2000","2000","Micropolitan (Nonmetro)","5","45-54 years","45-54","Intentional self-harm","X60-X84",379,3514223,10.8
"2000","2000","Micropolitan (Nonmetro)","5","45-54 years","45-54","Assault","X85-Y09",93,3514223,2.6
"2000","2000","Micropolitan (Nonmetro)","5","55-64 years","55-64","Intentional self-harm","X60-X84",227,2438264,9.3
"2000","2000","Micropolitan (Nonmetro)","5","55-64 years","55-64","Assault","X85-Y09",39,2438264,1.6
"2000","2000","Micropolitan (Nonmetro)","5","65-74 years","65-74","Intentional self-harm","X60-X84",215,1917014,11.2
"2000","2000","Micropolitan (Nonmetro)","5","65-74 years","65-74","Assault","X85-Y09",19,1917014,"Unreliable"
"2000","2000","Micropolitan (Nonmetro)","5","75-84 years","75-84","Intentional self-harm","X60-X84",203,1285682,15.8
"2000","2000","Micropolitan (Nonmetro)","5","85+ years","85+","Intentional self-harm","X60-X84",68,458746,14.8
"2000","2000","NonCore (Nonmetro)","6","5-14 years","5-14","Other external causes of accidental injury","W00-X59",11,2708974,"Unreliable"
"2000","2000","NonCore (Nonmetro)","6","5-14 years","5-14","Assault","X85-Y09",16,2708974,"Unreliable"
"2000","2000","NonCore (Nonmetro)","6","15-24 years","15-24","Other external causes of accidental injury","W00-X59",23,2444957,0.9
"2000","2000","NonCore (Nonmetro)","6","15-24 years","15-24","Intentional self-harm","X60-X84",257,2444957,10.5
"2000","2000","NonCore (Nonmetro)","6","15-24 years","15-24","Assault","X85-Y09",126,2444957,5.2
"2000","2000","NonCore (Nonmetro)","6","25-34 years","25-34","Other external causes of accidental injury","W00-X59",17,2186368,"Unreliable"
"2000","2000","NonCore (Nonmetro)","6","25-34 years","25-34","Intentional self-harm","X60-X84",235,2186368,10.7
"2000","2000","NonCore (Nonmetro)","6","25-34 years","25-34","Assault","X85-Y09",136,2186368,6.2
"2000","2000","NonCore (Nonmetro)","6","35-44 years","35-44","Other external causes of accidental injury","W00-X59",29,2822057,1
"2000","2000","NonCore (Nonmetro)","6","35-44 years","35-44","Intentional self-harm","X60-X84",380,2822057,13.5
"2000","2000","NonCore (Nonmetro)","6","35-44 years","35-44","Assault","X85-Y09",131,2822057,4.6
"2000","2000","NonCore (Nonmetro)","6","45-54 years","45-54","Other external causes of accidental injury","W00-X59",17,2586163,"Unreliable"
"2000","2000","NonCore (Nonmetro)","6","45-54 years","45-54","Intentional self-harm","X60-X84",291,2586163,11.3
"2000","2000","NonCore (Nonmetro)","6","45-54 years","45-54","Assault","X85-Y09",89,2586163,3.4
