"State","State Code","2013 Urbanization","2013 Urbanization Code","Year","Year Code","Place of Death","Place of Death Code","Deaths","Population","Crude Rate"
"Alabama","01","Large Fringe Metro","2","2010","2010","Decedent's home","4",30,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2011","2011","Decedent's home","4",39,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2012","2012","Decedent's home","4",49,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2013","2013","Decedent's home","4",31,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2014","2014","Decedent's home","4",51,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2015","2015","Decedent's home","4",50,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2016","2016","Decedent's home","4",51,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","1999","1999","Decedent's home","4",71,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2000","2000","Decedent's home","4",65,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2001","2001","Decedent's home","4",78,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2002","2002","Decedent's home","4",58,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2003","2003","Decedent's home","4",75,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2004","2004","Decedent's home","4",61,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2005","2005","Decedent's home","4",84,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2006","2006","Decedent's home","4",85,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2007","2007","Decedent's home","4",80,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2008","2008","Decedent's home","4",80,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2009","2009","Decedent's home","4",92,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2010","2010","Decedent's home","4",89,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2011","2011","Decedent's home","4",99,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2012","2012","Decedent's home","4",110,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2013","2013","Decedent's home","4",90,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2014","2014","Decedent's home","4",103,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2015","2015","Decedent's home","4",101,"Not Applicable","Not Applicable"
"Alabama","01","Medium Metro","3","2016","2016","Decedent's home","4",129,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","1999","1999","Decedent's home","4",94,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2000","2000","Decedent's home","4",74,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2001","2001","Decedent's home","4",92,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2002","2002","Decedent's home","4",87,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2003","2003","Decedent's home","4",92,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2004","2004","Decedent's home","4",99,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2005","2005","Decedent's home","4",69,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2006","2006","Decedent's home","4",101,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2007","2007","Decedent's home","4",91,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2008","2008","Decedent's home","4",89,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2009","2009","Decedent's home","4",110,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2010","2010","Decedent's home","4",88,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2011","2011","Decedent's home","4",107,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2012","2012","Decedent's home","4",97,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2013","2013","Decedent's home","4",94,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2014","2014","Decedent's home","4",91,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2015","2015","Decedent's home","4",113,"Not Applicable","Not Applicable"
"Alabama","01","Small Metro","4","2016","2016","Decedent's home","4",113,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","1999","1999","Decedent's home","4",43,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2000","2000","Decedent's home","4",38,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2001","2001","Decedent's home","4",27,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2002","2002","Decedent's home","4",39,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2003","2003","Decedent's home","4",33,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2004","2004","Decedent's home","4",30,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2005","2005","Decedent's home","4",40,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2006","2006","Decedent's home","4",41,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2007","2007","Decedent's home","4",45,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2008","2008","Decedent's home","4",36,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2009","2009","Decedent's home","4",53,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2010","2010","Decedent's home","4",43,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2011","2011","Decedent's home","4",45,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2012","2012","Decedent's home","4",45,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2013","2013","Decedent's home","4",54,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2014","2014","Decedent's home","4",55,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2015","2015","Decedent's home","4",59,"Not Applicable","Not Applicable"
"Alabama","01","Micropolitan (Nonmetro)","5","2016","2016","Decedent's home","4",64,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","1999","1999","Decedent's home","4",52,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2000","2000","Decedent's home","4",62,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2001","2001","Decedent's home","4",61,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2002","2002","Decedent's home","4",72,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2003","2003","Decedent's home","4",65,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2004","2004","Decedent's home","4",48,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2005","2005","Decedent's home","4",51,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2006","2006","Decedent's home","4",54,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2007","2007","Decedent's home","4",51,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2008","2008","Decedent's home","4",42,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2009","2009","Decedent's home","4",58,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2010","2010","Decedent's home","4",66,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2011","2011","Decedent's home","4",45,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2012","2012","Decedent's home","4",67,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2013","2013","Decedent's home","4",76,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2014","2014","Decedent's home","4",53,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2015","2015","Decedent's home","4",59,"Not Applicable","Not Applicable"
"Alabama","01","NonCore (Nonmetro)","6","2016","2016","Decedent's home","4",62,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","1999","1999","Decedent's home","4",18,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2000","2000","Decedent's home","4",23,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2001","2001","Decedent's home","4",20,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2002","2002","Decedent's home","4",25,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2003","2003","Decedent's home","4",23,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2004","2004","Decedent's home","4",22,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2005","2005","Decedent's home","4",19,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2006","2006","Decedent's home","4",26,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2007","2007","Decedent's home","4",33,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2008","2008","Decedent's home","4",32,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2009","2009","Decedent's home","4",24,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2010","2010","Decedent's home","4",39,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2011","2011","Decedent's home","4",30,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2012","2012","Decedent's home","4",32,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2013","2013","Decedent's home","4",36,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2014","2014","Decedent's home","4",35,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2015","2015","Decedent's home","4",41,"Not Applicable","Not Applicable"
"Alaska","02","Medium Metro","3","2016","2016","Decedent's home","4",34,"Not Applicable","Not Applicable"
"Alaska","02","Small Metro","4","2007","2007","Decedent's home","4",11,"Not Applicable","Not Applicable"
"Alaska","02","Small Metro","4","2008","2008","Decedent's home","4",13,"Not Applicable","Not Applicable"
"Alaska","02","Small Metro","4","2011","2011","Decedent's home","4",10,"Not Applicable","Not Applicable"
"Alaska","02","Small Metro","4","2016","2016","Decedent's home","4",12,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","1999","1999","Decedent's home","4",23,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2000","2000","Decedent's home","4",34,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2001","2001","Decedent's home","4",25,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2002","2002","Decedent's home","4",36,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2003","2003","Decedent's home","4",21,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2004","2004","Decedent's home","4",24,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2005","2005","Decedent's home","4",21,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2006","2006","Decedent's home","4",18,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2007","2007","Decedent's home","4",20,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2008","2008","Decedent's home","4",36,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2009","2009","Decedent's home","4",23,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2010","2010","Decedent's home","4",34,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2011","2011","Decedent's home","4",33,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2012","2012","Decedent's home","4",21,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2013","2013","Decedent's home","4",35,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2014","2014","Decedent's home","4",28,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2015","2015","Decedent's home","4",30,"Not Applicable","Not Applicable"
"Alaska","02","NonCore (Nonmetro)","6","2016","2016","Decedent's home","4",17,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","1999","1999","Decedent's home","4",177,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2000","2000","Decedent's home","4",174,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2001","2001","Decedent's home","4",203,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2002","2002","Decedent's home","4",197,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2003","2003","Decedent's home","4",303,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2004","2004","Decedent's home","4",231,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2005","2005","Decedent's home","4",189,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2006","2006","Decedent's home","4",209,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2007","2007","Decedent's home","4",207,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2008","2008","Decedent's home","4",223,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2009","2009","Decedent's home","4",223,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2010","2010","Decedent's home","4",216,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2011","2011","Decedent's home","4",234,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2012","2012","Decedent's home","4",209,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2013","2013","Decedent's home","4",205,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2014","2014","Decedent's home","4",206,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2015","2015","Decedent's home","4",212,"Not Applicable","Not Applicable"
"Arizona","04","Large Central Metro","1","2016","2016","Decedent's home","4",232,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","1999","1999","Decedent's home","4",15,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2001","2001","Decedent's home","4",16,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2002","2002","Decedent's home","4",12,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2003","2003","Decedent's home","4",13,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2004","2004","Decedent's home","4",14,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2005","2005","Decedent's home","4",20,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2006","2006","Decedent's home","4",17,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2007","2007","Decedent's home","4",14,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2008","2008","Decedent's home","4",19,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2009","2009","Decedent's home","4",28,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2010","2010","Decedent's home","4",32,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2011","2011","Decedent's home","4",15,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2012","2012","Decedent's home","4",20,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2013","2013","Decedent's home","4",15,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2014","2014","Decedent's home","4",28,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2015","2015","Decedent's home","4",26,"Not Applicable","Not Applicable"
"Arizona","04","Large Fringe Metro","2","2016","2016","Decedent's home","4",35,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","1999","1999","Decedent's home","4",72,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2000","2000","Decedent's home","4",65,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2001","2001","Decedent's home","4",53,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2002","2002","Decedent's home","4",85,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2003","2003","Decedent's home","4",81,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2004","2004","Decedent's home","4",68,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2005","2005","Decedent's home","4",73,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2006","2006","Decedent's home","4",90,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2007","2007","Decedent's home","4",63,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2008","2008","Decedent's home","4",70,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2009","2009","Decedent's home","4",76,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2010","2010","Decedent's home","4",82,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2011","2011","Decedent's home","4",76,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2012","2012","Decedent's home","4",76,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2013","2013","Decedent's home","4",79,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2014","2014","Decedent's home","4",77,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2015","2015","Decedent's home","4",73,"Not Applicable","Not Applicable"
"Arizona","04","Medium Metro","3","2016","2016","Decedent's home","4",85,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","1999","1999","Decedent's home","4",70,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2000","2000","Decedent's home","4",75,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2001","2001","Decedent's home","4",65,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2002","2002","Decedent's home","4",75,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2003","2003","Decedent's home","4",55,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2004","2004","Decedent's home","4",72,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2005","2005","Decedent's home","4",73,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2006","2006","Decedent's home","4",85,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2007","2007","Decedent's home","4",92,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2008","2008","Decedent's home","4",88,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2009","2009","Decedent's home","4",99,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2010","2010","Decedent's home","4",86,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2011","2011","Decedent's home","4",101,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2012","2012","Decedent's home","4",106,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2013","2013","Decedent's home","4",87,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2014","2014","Decedent's home","4",105,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2015","2015","Decedent's home","4",98,"Not Applicable","Not Applicable"
"Arizona","04","Small Metro","4","2016","2016","Decedent's home","4",104,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","1999","1999","Decedent's home","4",13,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2000","2000","Decedent's home","4",13,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2001","2001","Decedent's home","4",20,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2002","2002","Decedent's home","4",18,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2003","2003","Decedent's home","4",13,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2004","2004","Decedent's home","4",16,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2005","2005","Decedent's home","4",19,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2006","2006","Decedent's home","4",24,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2007","2007","Decedent's home","4",19,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2009","2009","Decedent's home","4",11,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2010","2010","Decedent's home","4",20,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2011","2011","Decedent's home","4",29,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2012","2012","Decedent's home","4",23,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2013","2013","Decedent's home","4",22,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2015","2015","Decedent's home","4",21,"Not Applicable","Not Applicable"
"Arizona","04","Micropolitan (Nonmetro)","5","2016","2016","Decedent's home","4",27,"Not Applicable","Not Applicable"
"Arizona","04","NonCore (Nonmetro)","6","2012","2012","Decedent's home","4",14,"Not Applicable","Not Applicable"
"Arizona","04","NonCore (Nonmetro)","6","2013","2013","Decedent's home","4",15,"Not Applicable","Not Applicable"
"Arizona","04","NonCore (Nonmetro)","6","2014","2014","Decedent's home","4",11,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","1999","1999","Decedent's home","4",81,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2000","2000","Decedent's home","4",78,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2001","2001","Decedent's home","4",99,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2002","2002","Decedent's home","4",92,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2003","2003","Decedent's home","4",93,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2004","2004","Decedent's home","4",97,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2005","2005","Decedent's home","4",100,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2006","2006","Decedent's home","4",92,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2007","2007","Decedent's home","4",76,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2008","2008","Decedent's home","4",77,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2009","2009","Decedent's home","4",83,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2010","2010","Decedent's home","4",88,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2011","2011","Decedent's home","4",94,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2012","2012","Decedent's home","4",95,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2013","2013","Decedent's home","4",96,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2014","2014","Decedent's home","4",103,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2015","2015","Decedent's home","4",118,"Not Applicable","Not Applicable"
"Arkansas","05","Medium Metro","3","2016","2016","Decedent's home","4",118,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","1999","1999","Decedent's home","4",36,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","2000","2000","Decedent's home","4",37,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","2001","2001","Decedent's home","4",31,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","2002","2002","Decedent's home","4",28,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","2003","2003","Decedent's home","4",32,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","2004","2004","Decedent's home","4",28,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","2005","2005","Decedent's home","4",44,"Not Applicable","Not Applicable"
"Arkansas","05","Small Metro","4","2006","2006","Decedent's home","4",23,"Not Applicable","Not Applicable"
